Master System,Genesis,Game Gear,Sega CD,Sega 32X,Saturn,Dreamcast
,Genghis Khan II: Clan of the Gray Wolf,,,,Virtual Open Tennis,Vanishing Point
,George Foreman's KO Boxing,,,,VR Soccer,Vigilante 8: Second Offense
,Ghostbusters,,,,Warcraft II: The Dark Saga,Virtua Athlete 2000
,Ghouls'n Ghosts,,,,Wing Arms,Virtua Fighter 3tb
,Gods,,,,Winning Post EX,Virtua Striker 2 Ver. 2000.1
,Golden Axe,,,,Winter Heat,Virtua Tennis
,Golden Axe II,,,,Wipeout,Wacky Races
,Goofy's Hysterical History Tour,,,,World Cup Golf: Professional Edition,Walt Disney World Quest: Magical Racing Tour
,Granada,,,,World Series Baseball,Web Browser
,Jennifer Capriati Tennis,,,,World Series Baseball 98,Web Browser 2.0
,Greatest Heavyweights,,,,World Series Baseball II,Web Browser 2.62
,Greendog: The Beached Surfer Dude!,,,,Worldwide Soccer: Sega International Victory Goal Edition,Wetrix+
,Grind Stormer,,,,Worms,Who Wants to Beat Up a Millionaire
,Growl,,,,WWF In Your House,Wild Metal
,Gunstar Heroes,,,,WWF WrestleMania: The Arcade Game,World Series Baseball 2K1
,Wings of Wor,,,,X-Men: Children of the Atom,World Series Baseball 2K2
,Hard Drivin',,,,,Worms Armageddon
,HardBall '94,,,,,Worms World Party
,HardBall '95,,,,,WWF Attitude
,HardBall!,,,,,WWF Royal Rumble
,Haunting Starring Polterguy,,,,,Xtreme Sports
,Heavy Nova,,,,,Zombie Revenge
,Hellfire,,,,,
,Herzog Zwei,,,,,
,High Seas Havoc,,,,,
,Hit the Ice,,,,,
,Home Alone,,,,,
,Home Alone 2: Lost in New York,,,,,
,Hook,,,,,
,Double Dribble: The Playoff Edition,,,,,
,IMG International Tour Tennis,,,,,
,Indiana Jones and the Last Crusade,,,,,
,Insector X,,,,,
,Instruments of Chaos Starring Young Indiana Jones,,,,,
,Ishido: The Way of Stones,,,,,
,Izzy's Quest for the Olympic Rings,,,,,
,Jack Nicklaus' Power Challenge Golf,,,,,
,"James ""Buster"" Douglas Knockout Boxing",,,,,
,James Bond 007: The Duel,,,,,
,James Pond 3: Operation Starfish,,,,,
,James Pond II: Codename RoboCod,,,,,
,James Pond: Underwater Agent,,,,,
,Jammit,,,,,
,Jeopardy!,,,,,
,Jeopardy! Deluxe Edition,,,,,
,Jeopardy! Sports Edition,,,,,
,Jerry Glanville's Pigskin Footbrawl,,,,,
,Jewel Master,,,,,
,Joe & Mac,,,,,
,Joe Montana Football,,,,,
,Joe Montana II Sports Talk Football,,,,,
,John Madden Football,,,,,
,John Madden Football '92,,,,,
,John Madden Football '93,,,,,
,John Madden Football: Championship Edition,,,,,
,Jordan vs Bird,,,,,
,Joshua & The Battle of Jericho,,,,,
,Judge Dredd,,,,,
,Junction,,,,,
,Jungle Strike: The Sequel to Desert Strike,,,,,
,Jurassic Park,,,,,
,Jurassic Park: Rampage Edition,,,,,
,Justice League Task Force,,,,,
,Ka-Ge-Ki,,,,,
,Kawasaki Superbike Challenge,,,,,
,Kid Chameleon,,,,,
,King Salmon,,,,,
,King of the Monsters,,,,,
,King of the Monsters 2,,,,,
,King's Bounty: The Conqueror's Quest,,,,,
,Klax,,,,,
,Krusty's Fun House,,,,,
,LHX Attack Chopper,,,,,
,La Russa Baseball 95,,,,,
,Lakers versus Celtics and the NBA Playoffs,,,,,
,Landstalker: The Treasures of King Nole,,,,,
,Warsong,,,,,
,Last Action Hero,,,,,
,Last Battle,,,,,
,Lemmings,,,,,
,Lemmings 2: The Tribes,,,,,
,Lethal Enforcers,,,,,
,Lethal Enforcers II: Gun Fighters,,,,,
,Liberty or Death,,,,,
,Light Crusader,,,,,
,Lotus II: RECS,,,,,
,Lotus Turbo Challenge,,,,,
,MLBPA Baseball,,,,,
,Madden NFL '94,,,,,
,Madden NFL '95,,,,,
,Madden NFL 96,,,,,
,Madden NFL 97,,,,,
,Madden NFL 98,,,,,
,,,,,,
,Mallet Legend,,,,,
,Marble Madness,,,,,
,Mario Andretti Racing,,,,,
,Mario Lemieux Hockey,,,,,
,Marko,,,,,
,Marsupilami,,,,,
,Marvel Land,,,,,
,Mary Shelley's Frankenstein,,,,,
,Master of Monsters,,,,,
,Math Blaster: Episode 1,,,,,
,Mazin Saga: Mutant Fighter,,,,,
,McDonald's Treasure Land Adventure,,,,,
,Mega Bomberman,,,,,
,Mega Games I,,,,,
,Tyrants: Fight Through Time,,,,,
,Mega Turrican,,,,,
,Menacer 6-Game Cartridge,,,,,
,Mercs,,,,,
,MiG-29 Fighter Pilot,,,,,
,Michael Jackson's Moonwalker,,,,,
,Mick & Mack as the Global Gladiators,,,,,
,Mickey Mania: The Timeless Adventures of Mickey Mouse,,,,,
,Mickey's Ultimate Challenge,,,,,
,Micro Machines,,,,,
,Midnight Resistance,,,,,
,Might and Magic: Gates to Another World,,,,,
,Mighty Morphin Power Rangers,,,,,
,Mighty Morphin Power Rangers: The Movie,,,,,
,Mike Ditka Power Football,,,,,
,Minnesota Fats: Pool Legend,,,,,
,Monopoly,,,,,
,Mortal Kombat,,,,,
,Mortal Kombat 3,,,,,
,Mortal Kombat II,,,,,
,Ms. Pac-Man,,,,,
,Muhammad Ali Heavyweight Boxing,,,,,
,Mutant League Football,,,,,
,Mutant League Hockey,,,,,
,Mystic Defender,,,,,
,Mystical Fighter,,,,,
,NBA Action '94,,,,,
,NBA Action '95 Starring David Robinson,,,,,
,NBA All-Star Challenge,,,,,
,NBA Hang Time,,,,,
,NBA Jam,,,,,
,NBA Jam Tournament Edition,,,,,
,NBA Live 95,,,,,
,NBA Live 96,,,,,
,NBA Live 97,,,,,
,NBA Live 98,,,,,
,NBA Showdown '94,,,,,
,NCAA Final Four Basketball,,,,,
,NCAA Football,,,,,
,NFL '95,,,,,
,NFL 98,,,,,
,NFL Football '94 Starring Joe Montana,,,,,
,NFL Quarterback Club '96,,,,,
,NFL Quarterback Club,,,,,
,NFL Sports Talk Football '93 Starring Joe Montana,,,,,
,NHL 95,,,,,
,NHL 96,,,,,
,NHL 97,,,,,
,NHL 98,,,,,
,NHL All-Star Hockey '95,,,,,
,NHL Hockey '94,,,,,
,NHL Hockey,,,,,
,NHLPA Hockey,,,,,
,NHLPA Hockey '93,,,,,
,Newman-Haas IndyCar Featuring Nigel Mansell,,,,,
,Nigel Mansell's World Championship Racing,,,,,
,No Escape,,,,,
,Nobunaga's Ambition,,,,,
,Normy's Beach Babe-O-Rama,,,,,
,Olympic Gold,,,,,
,Olympic Summer Games,,,,,
,Onslaught,,,,,
,Operation Europe: Path to Victory 1939-45,,,,,
,OutRun,,,,,
,OutRun 2019,,,,,
,OutRunners,,,,,
,Outback Joey,,,,,
,Outlander,,,,,
,Outworld 2375 AD,,,,,
,P.T.O.: Pacific Theater of Operations,,,,,
,PGA European Tour,,,,,
,PGA Tour 96,,,,,
,PGA Tour Golf,,,,,
,PGA Tour Golf II,,,,,
,PGA Tour Golf II,,,,,
,PGA Tour Golf III,,,,,
,Pac-Attack,,,,,
,Pac-Man 2: The New Adventures,,,,,
,Pac-Mania,,,,,
,Paperboy,,,,,
,Paperboy 2,,,,,
,Pebble Beach Golf Links,,,,,
,Pelé II: World Tournament Soccer,,,,,
,Pelé!,,,,,
,Pete Sampras Tennis,,,,,
,Phantasy Star II,,,,,
,Phantasy Star III: Generations of Doom,,,,,
,Phantasy Star IV: The End of the Millennium,,,,,
,Phantom 2040,,,,,
,Phelios,,,,,
,Pink Goes to Hollywood,,,,,
,Pinocchio,,,,,
,Pirates! Gold,,,,,
,Pit-Fighter,,,,,
,Pitfall: The Mayan Adventure,,,,,
,Pocahontas,,,,,
,Populous,,,,,
,Power Monger,,,,,
,Powerball,,,,,
,Predator 2,,,,,
,Primal Rage,,,,,
,Prime Time NFL Football Starring Deion Sanders,,,,,
,Prince of Persia,,,,,
,Pro Quarterback,,,,,
,Puggsy,,,,,
,QuackShot Starring Donald Duck,,,,,
,Quad Challenge,,,,,
,R.B.I. Baseball '93,,,,,
,R.B.I. Baseball '94,,,,,
,R.B.I. Baseball 3,,,,,
,R.B.I. Baseball 4,,,,,
,Race Drivin',,,,,
,Radical Rex,,,,,
,Raiden Trad,,,,,
,Rambo III,,,,,
,Rampart,,,,,
,Ranger-X,,,,,
,Rastan Saga II,,,,,
,Red Zone,,,,,
,Revolution X,,,,,
,Richard Scarry's Busytown,,,,,
,Rings of Power,,,,,
,Risk,,,,,
,Risky Woods,,,,,
,Ristar,,,,,
,Road Rash,,,,,
,Road Rash 3: Tour De Force,,,,,
,Road Rash II,,,,,
,RoadBlasters,,,,,
,RoboCop 3,,,,,
,RoboCop Versus The Terminator,,,,,
,Rock n' Roll Racing,,,,,
,Rocket Knight Adventures,,,,,
,Roger Clemens' MVP Baseball,,,,,
,Rolling Thunder 2,,,,,
,Rolling Thunder 3,,,,,
,Rolo to the Rescue,,,,,
,Romance of the Three Kingdoms II,,,,,
,Romance of the Three Kingdoms III: Dragon of Destiny,,,,,
,Rugby World Cup 1995,,,,,
,Saint Sword,,,,,
,Samurai Shodown,,,,,
,Saturday Night Slam Masters,,,,,
,Scholastic's The Magic School Bus: Space Exploration Game,,,,,
,Scooby-Doo Mystery,,,,,
,SeaQuest DSV,,,,,
,Sesame Street Counting Cafe,,,,,
,Shadow Blasters,,,,,
,Shadow Dancer: The Secret of Shinobi,,,,,
,Shadow of the Beast,,,,,
,Shadow of the Beast II,,,,,
,Shadowrun,,,,,
,Shanghai II: Dragon's Eye,,,,,
,Shaq Fu,,,,,
,Shining Force,,,,,
,Shining Force II,,,,,
,Shining in the Darkness,,,,,
,Shinobi III: Return of the Ninja Master,,,,,
,Shove It! ...The Warehouse Game,,,,,
,Side Pocket,,,,,
,Skeleton Krew,,,,,
,Skitchin',,,,,
,Slaughter Sport,,,,,
,Smash T.V.,,,,,
,Socket,,,,,
,Sol-Feace,,,,,
,Sonic & Knuckles,,,,,
,Sonic 3D Blast,,,,,
,Sonic Classics,,,,,
,Sonic the Hedgehog,,,,,
,Sonic the Hedgehog 2,,,,,
,Sonic the Hedgehog 3,,,,,
,Sonic the Hedgehog Spinball,,,,,
,Sorcerer's Kingdom,,,,,
,Space Harrier II,,,,,
,Space Invaders '91,,,,,
,Sparkster: Rocket Knight Adventures 2,,,,,
,Speedball 2: Brutal Deluxe,,,,,
,Spider-Man,,,,,
,Spider-Man and Venom: Maximum Carnage,,,,,
,Spider-Man and the X-Men in Arcade's Revenge,,,,,
,Spider-Man vs. The Kingpin,,,,,
,Spiritual Warfare,,,,,
,Splatterhouse 2,,,,,
,Splatterhouse 3,,,,,
,Sports Talk Baseball,,,,,
,Spot Goes to Hollywood,,,,,
,Star Control,,,,,
,Star Trek: Deep Space Nine: Crossroads of Time,,,,,
,Star Trek: The Next Generation: Echoes from the Past,,,,,
,Starflight,,,,,
,Stargate,,,,,
,Steel Talons,,,,,
,Stormlord,,,,,
,Street Fighter II': Special Champion Edition,,,,,
,Street Smart,,,,,
,Streets of Rage,,,,,
,Streets of Rage 2,,,,,
,Streets of Rage 3,,,,,
,Strider,,,,,
,Strider II,,,,,
,Sub-Terrania,,,,,
,Summer Challenge,,,,,
,Sunset Riders,,,,,
,Super Baseball 2020,,,,,
,Super Battleship: The Classic Naval Combat Game,,,,,
,Super Hang-On,,,,,
,Super High Impact,,,,,
,Super Hydlide,,,,,
,Super League,,,,,
,Super Monaco GP,,,,,
,Super Off Road,,,,,
,Super Real Basketball,,,,,
,Super Street Fighter II: The New Challengers,,,,,
,Super Thunder Blade,,,,,
,Super Volley Ball,,,,,
,Superman,,,,,
,Sword of Sodan,,,,,
,Sword of Vermilion,,,,,
,Syd of Valis,,,,,
,Sylvester and Tweety in Cagey Capers,,,,,
,Syndicate,,,,,
,T2: The Arcade Game,,,,,
,TNN Bass Tournament of Champions,,,,,
,TNN Outdoors Bass Tournament '96,,,,,
,TaleSpin,,,,,
,Target Earth,,,,,
,Task Force Harrier EX,,,,,
,Taz in Escape from Mars,,,,,
,Taz-Mania,,,,,
,Team USA Basketball,,,,,
,TechnoClash,,,,,
,Technocop,,,,,
,Tecmo Super Baseball,,,,,
,Tecmo Super Bowl,,,,,
,Tecmo Super Bowl II: Special Edition,,,,,
,Tecmo Super Bowl III: Final Edition,,,,,
,Tecmo Super Hockey,,,,,
,Tecmo Super NBA Basketball,,,,,
,Tecmo World Cup '92,,,,,
,Teenage Mutant Ninja Turtles: The Hyperstone Heist,,,,,
,Teenage Mutant Ninja Turtles: Tournament Fighters,,,,,
,Terminator 2: Judgment Day,,,,,
,The Addams Family,,,,,
,The Adventures of Batman & Robin,,,,,
,The Adventures of Mighty Max,,,,,
,The Adventures of Rocky and Bullwinkle and Friends,,,,,
,The Aquatic Games Starring James Pond and The Aquabats,,,,,
,The Berenstain Bears' Camping Adventure,,,,,
,Soldiers of Fortune,,,,,
,The Death and Return of Superman,,,,,
,The Duel: Test Drive II,,,,,
,The Faery Tale Adventure,,,,,
,The Flintstones,,,,,
,The Gadget Twins,,,,,
,The Great Circus Mystery Starring Mickey & Minnie,,,,,
,The Great Waldo Search,,,,,
,The Humans,,,,,
,The Incredible Crash Dummies,,,,,
,The Incredible Hulk,,,,,
,The Jungle Book,,,,,
,The Lawnmower Man,,,,,
,The Lion King,,,,,
,The Lost Vikings,,,,,
,The Lost World: Jurassic Park,,,,,
,The Miracle Piano Teaching System,,,,,
,The Ooze,,,,,
,The Pagemaster,,,,,
,The Pirates of Dark Water,,,,,
,The Punisher,,,,,
,The Ren & Stimpy Show Presents: Stimpy's Invention,,,,,
,The Revenge of Shinobi,,,,,
,The Simpsons: Bart vs. the Space Mutants,,,,,
,The Simpsons: Bart's Nightmare,,,,,
,The Steel Empire,,,,,
,Beyond Oasis,,,,,
,The Terminator,,,,,
,The Tick,,,,,
,Theme Park,,,,,
,Thomas the Tank Engine & Friends,,,,,
,Thunder Force II,,,,,
,Thunder Force III,,,,,
,Lightening Force: Quest for the Darkstar,,,,,
,Thunder Fox,,,,,
,Time Killers,,,,,
,Tinhead,,,,,
,Tiny Toon Adventures: ACME All-Stars,,,,,
,Tiny Toon Adventures: Buster's Hidden Treasure,,,,,
,Todd's Adventures in Slime World,,,,,
,ToeJam & Earl,,,,,
,ToeJam & Earl in Panic on Funkotron,,,,,
,Toki: Going Ape Spit,,,,,
,Tom and Jerry: Frantic Antics,,,,,
,Tony La Russa Baseball,,,,,
,Top Gear 2,,,,,
,Toughman Contest,,,,,
,Toxic Crusaders,,,,,
,Toy Story,,,,,
,Toys,,,,,
,Trampoline Terror!,,,,,
,Traysia,,,,,
,Triple Play 96,,,,,
,Triple Play: Gold Edition,,,,,
,Trouble Shooter,,,,,
,Troy Aikman NFL Football,,,,,
,True Lies,,,,,
,Truxton,,,,,
,Turrican,,,,,
,Twin Cobra,,,,,
,Two Crude Dudes,,,,,
,Ultimate Mortal Kombat 3,,,,,
,Ultimate Qix,,,,,
,Uncharted Waters,,,,,
,Universal Soldier,,,,,
,Unnecessary Roughness '95,,,,,
,Urban Strike,,,,,
,VR Troopers,,,,,
,Valis III,,,,,
,Valis: The Fantasm Soldier,,,,,
,Vapor Trail: Hyper Offence Formation,,,,,
,Vectorman,,,,,
,Vectorman 2,,,,,
,Venom - Spider-Man: Separation Anxiety,,,,,
,Viewpoint,,,,,
,Virtua Fighter 2,,,,,
,Virtua Racing,,,,,
,Virtual Bart,,,,,
,Virtual Pinball,,,,,
,WWF Raw,,,,,
,WWF Royal Rumble,,,,,
,WWF Super WrestleMania,,,,,
,WWF WrestleMania: The Arcade Game,,,,,
,Wacky Worlds,,,,,
,Wardner,,,,,
,Warlock,,,,,
,WarpSpeed,,,,,
,Warrior of Rome,,,,,
,Warrior of Rome II,,,,,
,Wayne Gretzky and the NHLPA All-Stars,,,,,
,Wayne's World,,,,,
,Weaponlord,,,,,
,Wheel of Fortune,,,,,
,Where in Time is Carmen Sandiego?,,,,,
,Where in the World is Carmen Sandiego?,,,,,
,Whip Rush,,,,,
,Will Harvey Presents The Immortal,,,,,
,Williams Arcade's Greatest Hits,,,,,
,Wimbledon Championship Tennis,,,,,
,Winter Challenge,,,,,
,Winter Olympics,,,,,
,Wiz 'n' Liz,,,,,
,Wolfchild,,,,,
,Wolverine: Adamantium Rage,,,,,
,Wonder Boy in Monster World,,,,,
,Wonder Library,,,,,
,World Championship Soccer II,,,,,
,World Class Leaderboard Golf,,,,,
,World Championship Soccer,,,,,
,World Cup USA 94,,,,,
,World Heroes,,,,,
,World Series Baseball '95,,,,,
,World Series Baseball '96,,,,,
,World Series Baseball,,,,,
,World Series Baseball 98,,,,,
,World Trophy Soccer,,,,,
,World of Illusion Starring Mickey Mouse and Donald Duck,,,,,
,X-Men,,,,,
,X-Men 2: Clone Wars,,,,,
,X-Perts,,,,,
,Ys III: Wanderers from Ys,,,,,
,Zany Golf,,,,,
,Zero Tolerance,,,,,
,Zero the Kamikaze Squirrel,,,,,
,Zombies Ate My Neighbors,,,,,
,Zool: Ninja of the Nth Dimension,,,,,
,Zoom!,,,,,
,Zoop,,,,,
