Master System,Genesis,Game Gear,Sega CD,Sega 32X,Saturn,Dreamcast
Great Basketball,Barbie Super Model,Defenders of Oasis,Ground Zero Texas,,Corpse Killer,Disney's Dinosaur
Great Football,Barkley Shut Up and Jam 2,Desert Speedtrap Starring Road Runner and Wile E. Coyote,Heart of the Alien: Out of this World Parts I and II,,Courier Crisis,Disney's Donald Duck Quack Attack
Great Golf,Barkley Shut Up and Jam!,Desert Strike: Return to the Gulf,Heimdall,,Creature Shock: Special Edition,Disney/Pixar's Buzz Lightyear of Star Command
Great Ice Hockey,Barney's Hide & Seek Game,Devilish,Hook,,Crimewave,Disney/Pixar's Toy Story 2: Buzz Lightyear to the Rescue!
Great Volleyball,Bass Masters Classic,Disney's Aladdin,INXS,,Criticom,Draconus Cult of the Wyrm
Hang-On / Astro Warrior,Bass Masters Classic: Pro Edition,Double Dragon,Iron Helix,,Croc: Legend of the Gobbos,Dragon Riders: Chronicles of Pern
Hang-On / Safari Hunt,,Dr. Robotnik's Mean Bean Machine,Jaguar XJ220,,Crusader: No Remorse,Ducati World Racing Challenge
Heavyweight Champ,Batman,Dragon Crystal,Jeopardy!,,Crypt Killer,Dynamite Cop
Joe Montana Football,Batman Forever,Dragon: The Bruce Lee Story,Joe Montana's NFL Football,,Cyber Speedway,Ecco the Dolphin: Defender of the Future
Kenseiden,Batman Returns,Dynamite Headdy,Jurassic Park,,Cyber Troopers Virtual-On,ECW Anarchy Rulz
King's Quest: Quest for the Crown,Batman: Revenge of The Joker,Earthworm Jim,Keio Flying Squadron,,Cyber Troopers Virtual-On NetLink Edition,ECW Hardcore Revolution
Kung Fu Kid,Battle Squadron,Ecco the Dolphin,Kids on Site,,Cyberia,Elemental Gimmick Gear
Lord of the Sword,Battlemaster,Ecco: The Tides of Time,Kris Kross,,D,ESPN International Track & Field
Marksman Shooting & Trap Shooting,Battletech: A Game of Armored Combat,"Evander Holyfield's ""Real Deal"" Boxing",Lethal Enforcers,,Darius Gaiden,ESPN NBA 2Night
Maze Hunter 3D,Battletoads,F-15 Strike Eagle,Lethal Enforcers II: Gun Fighters,,Dark Savior,Evil Dead: Hail to the King
Michael Jackson's Moonwalker,Battletoads/Double Dragon: The Ultimate Team,F1,Links: The Challenge of Golf,,Darklight Conflict,Evolution 2: Far Off Promise
Miracle Warriors: Seal of the Dark Lord,Beast Wrestler,Fantastic Dizzy,Loadstar: The Legend of Tully Bodine,,Daytona USA,Evolution: The World of Sacred Device
Missile Defense 3-D,Beauty and the Beast: Belle's Quest,Fantasy Zone,Lords of Thunder,,Daytona USA: C.C.E. NetLink Edition,Expendable
Monopoly,Beauty and the Beast: Roar of the Beast,Fatal Fury Special,Lunar: Eternal Blue,,Daytona USA: Championship Circuit Edition,F1 World Grand Prix
Montezuma's Revenge,Beavis and Butt-Head,FIFA International Soccer,Lunar: The Silver Star,,Decathlete,F355 Challenge
My Hero,Best of the Best: Championship Karate,FIFA Soccer 96,Mad Dog II: The Lost Gold,,Defcon 5,Fatal Fury: Mark of the Wolves
OutRun,Bible Adventures,Foreman for Real,Mad Dog McCree,,Die Hard Arcade,Fighting Force 2
Paperboy,,Frank Thomas Big Hurt Baseball,Mansion of Hidden Souls,,Die Hard Trilogy,Flag to Flag
Parlour Games,Bill Walsh College Football,Fred Couples Golf,Marky Mark and the Funky Bunch,,Doom,Floigan Bros. Episode 1
Penguin Land,Bill Walsh College Football '95,G-LOC: Air Battle,Mary Shelley's Frankenstein / Bram Stoker's Dracula,,Double Switch,Frogger 2: Swampy's Revenge
Phantasy Star,Bimini Run,Garfield: Caught in the Act,MegaRace,,Dragon Force,Fur Fighters
Poseidon Wars 3D,Bio-Hazard Battle,Garry Kitchen's Super Battletank: War in the Gulf,Mickey Mania: The Timeless Adventures of Mickey Mouse,,Dragonheart: Fire & Steel,Gauntlet Legends
Power Strike,Blades of Vengeance,Gear Works,Microcosm,,Duke Nukem 3D,Giga Wing
Pro Wrestling,Blaster Master 2,GP Rider,Midnight Raiders,,Earthworm Jim 2,Giga Wing 2
Psycho Fox,Blockbuster World Video Game Championship II,Greendog: The Beached Surfer Dude!,Mighty Morphin Power Rangers,,Enemy Zero,Grand Theft Auto 2
Quartet,Blockout,Halley Wars,Mortal Kombat,,F1 Challenge,Grandia II
