YEAR,RANK,GAME,RUNNER1,RUNNER2,COMMENTARY1,COMMENTARY2,VIDEOURL,TIMESTAMP,VIDEO2URL,TIMESTAMP2,EVENTID,KEY
,2,Castlevania: Bloodlines,JaekRock,NoDiggity1,,,https://www.youtube.com/watch?v=jHdox7Zb9-A,5:21:17,,,5,5_2
,3,Disney's Aladdin,insomniatics,svipur,,,https://www.youtube.com/watch?v=jHdox7Zb9-A,5:02:17,,,5,5_3
,4,Rocket Knight Adventures,March_TV,,zyzex,,https://www.youtube.com/watch?v=jHdox7Zb9-A,4:17:05,,,5,5_4
,5,Gunstar Heroes,anthole,kavoc,,,https://www.youtube.com/watch?v=jHdox7Zb9-A,3:21:45,,,5,5_5
,6,Shining Force,broxi,,,,https://www.youtube.com/watch?v=jHdox7Zb9-A,2:11:54,,,5,5_6
,7,Street Fighter 2,Sonicman2005,,,,https://www.youtube.com/watch?v=jHdox7Zb9-A,1:42:46,,,5,5_7
,8,Mortal Kombat,Cypherin,,,,https://www.youtube.com/watch?v=jHdox7Zb9-A,1:07:36,,,5,5_8
,9,World of Illusion: Starring Mickey Mouse and Donald Duck,ZeeGee_,,,,https://www.youtube.com/watch?v=jHdox7Zb9-A,0:29:05,,,5,5_9
,10,Sonic Spinball,chronoon,,,,https://www.youtube.com/watch?v=jHdox7Zb9-A,0:01:28,,,5,5_10
1994,1,Sonic the Hedgehog 3,Shimegabriel,,,,https://www.youtube.com/watch?v=crFkgItId6k,6:07:32,,,6,6_1
,2,Earthworm Jim,Grimshins,,,,https://www.youtube.com/watch?v=crFkgItId6k,5:02:09,,,6,6_2
,3,Fatal Fury 2,Sonicman2005,,,,https://www.youtube.com/watch?v=crFkgItId6k,4:34:49,,,6,6_3
,4,Disney's The Lion King,insomniatics,,,,https://www.youtube.com/watch?v=crFkgItId6k,4:15:30,,,6,6_4
,5,Streets of Rage 3,Sonicman2005,,,,https://www.youtube.com/watch?v=crFkgItId6k,3:31:00,,,6,6_5
,6,Sonic 3 & Knuckles,SuperSonic_,,,,https://www.youtube.com/watch?v=crFkgItId6k,2:59:41,,,6,6_6
,7,Shining Force 2,ty2358,,,,https://www.youtube.com/watch?v=crFkgItId6k,1:45:34,,,6,6_7
,8,Ecco: The Tides of Time,Grimshins,,,,https://www.youtube.com/watch?v=crFkgItId6k,1:04:20,,,6,6_8
,9,Dynamite Headdy,petaQ_src,,,,https://www.youtube.com/watch?v=crFkgItId6k,0:22:25,,,6,6_9
,10,NBA Jam,wax_house,,,,https://www.youtube.com/watch?v=crFkgItId6k,0:04:34,,,6,6_10
1995,1,Phantasy Star IV: The End of the Millennium,VaeVictusBR,,,,https://www.youtube.com/watch?v=tc7ZEh2SwdE,6:11:07,https://www.youtube.com/watch?v=sCEhfO-9FkQ,,7,7_1
,2,Ristar,Shimegabriel,,,,https://www.youtube.com/watch?v=tc7ZEh2SwdE,5:32:3,,,7,7_2
,3,Beyond Oasis,Boostershane,,,,https://www.youtube.com/watch?v=tc7ZEh2SwdE,5:15:18,,,7,7_3
,4,The Adventures of Batman & Robin,Cypherin,TopazDragoon39,,,https://www.youtube.com/watch?v=tc7ZEh2SwdE,4:25:25,,,7,7_4
,5,Vectorman,wax_house,,,,https://www.youtube.com/watch?v=tc7ZEh2SwdE,3:59:42,,,7,7_5
,6,X-Men 2: Clone Wars,TopazDragoon39,,A_Frame,,https://www.youtube.com/watch?v=tc7ZEh2SwdE,3:11:37,,,7,7_6
,7,Comix Zone,Boostershane,,,,https://www.youtube.com/watch?v=tc7ZEh2SwdE,2:42:20,,,7,7_7
,8,Earthworm Jim 2,Cypherin,,,,https://www.youtube.com/watch?v=tc7ZEh2SwdE,1:48:04,,,7,7_8
,9,Light Crusader,chronoon,,,,https://www.youtube.com/watch?v=tc7ZEh2SwdE,0:19:56,,,7,7_9
,10,NHL '96,wax_house,,,,https://www.youtube.com/watch?v=tc7ZEh2SwdE,0:03:12,,,7,7_10
