EVENTID,EVENT,DATE,OFFICIALRESULTS,VIDEOURL,GAMEID,GAME,GOAL,KEY,RUNNER1,RUNNER1TIME,RUNNER2,RUNNER2TIME,RUNNER3,RUNNER3TIME,RUNNER4,RUNNER4TIME,RUNNER5,RUNNER5TIME,RUNNER6,RUNNER6TIME,RUNNER7,RUNNER7TIME,RUNNER8,RUNNER8TIMR,RUNNER9,RUNNER9TIME,RUNNER10,RUNNER10TIME,RUNNER11,RUNNER11TIME,RUNNER12,RUNNER12TIME,RUNNER13,RUNNER13TIME,RUNNER14,RUNNER14TIME,RUNNER15,RUNNER15TIME,RUNNER16,RUNNER16TIME,RUNNER17,RUNNER17TIME,RUNNER18,RUNNER18TIME,RUNNER19,RUNNER19TIME,RUNNER20,RUNNER20TIME,RUNNER21,RUNNER21TIME
3,Master 8 #1,4/24/2021,https://racetime.gg/misc/artful-midna-4255,https://www.youtube.com/watch?v=QTSXGCLCs00,1,Castle of Illusion Starring Mickey Mouse,Collect 5 Gems,3_1,JkL0ser,1:17:31,sauloandrade_,1:21:06,GnarBlast,1:21:43,Paulsaltine,1:34:15,GrandCoune,1:40:45,btrim,1:44:30,YourFace,1:50:42,Emsemts,2:12:15,z_tox,2:24:37,FedePG,3:36:27,Brotherkyle88,DNF,Shannaberryblast,DNF,,,,,,,,,,,,,,,,,,
3,,,,,2,Psycho Fox,Beat Stage 3-3 (Warpless),3_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,3,Master of Darkness,Beat Round 3,3_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,4,Batman Returns,Beat Stage 3 (Glitchless),3_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,5,Outrun,Beat the Game,3_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,6,Psychic World,Beat World 4,3_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,7,Alf,Book%,3_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,8,Alex Kidd in Shinobi World,Beat the Game,3_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Shinobi III Monthly Race #2,5/30/2021,https://racetime.gg/shinobi3/virtual-clip-0525,,1,Shinobi III: Return of the Ninja Master,Any%,4_1,BaconOmelette,0:26:13,Bluslider_,0:33:01,Faust4712,0:34:58,Cypherin,0:43:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Shinobi III Monthly Race #3,6/26/2021,https://racetime.gg/shinobi3/tactical-goomba-2563,,1,Shinobi III: Return of the Ninja Master,Any%,5_1,BaconOmelette,0:26:59,Bluslider_,0:27:07,IcKYY,0:28:53,Faust4712,0:37:11,wrongnote85,0:59:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Shinobi III Monthly Race #4,7/31/2021,https://racetime.gg/shinobi3/neutral-zip-8389,,1,Shinobi III: Return of the Ninja Master,Any%,6_1,BaconOmelette,0:25:45,Bluslider_,0:27:20,Faust4712,0:35:24,wrongnote85,0:41:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Shinobi III Monthly Race #5,8/28/2021,https://racetime.gg/shinobi3/virtual-banjo-9221,,1,Shinobi III: Return of the Ninja Master,Any%,7_1,BaconOmelette,0:27:11,Faust4712,0:33:09,ZeeGee_,0:37:19,Boostershane,0:37:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5g Game Gear,9/4/2021,https://racetime.gg/misc/sunken-tatl-7285,https://www.youtube.com/watch?v=aQskjvio0Mw,1,Sonic Drift 2,Purple GP,8_1,Oopla,0:46:07,JkL0ser,0:49:19,GnarBlast,0:55:19,Grumpmeister,0:58:47,Emsemts,1:03:52,Random64,1:35:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
