EVENTID,EVENT,DATE,OFFICIALRESULTS,VIDEOURL,GAMEID,GAME,GOAL,KEY,RUNNER1,RUNNER1TIME,RUNNER2,RUNNER2TIME,RUNNER3,RUNNER3TIME,RUNNER4,RUNNER4TIME,RUNNER5,RUNNER5TIME,RUNNER6,RUNNER6TIME,RUNNER7,RUNNER7TIME,RUNNER8,RUNNER8TIMR,RUNNER9,RUNNER9TIME,RUNNER10,RUNNER10TIME,RUNNER11,RUNNER11TIME,RUNNER12,RUNNER12TIME,RUNNER13,RUNNER13TIME,RUNNER14,RUNNER14TIME,RUNNER15,RUNNER15TIME,RUNNER16,RUNNER16TIME,RUNNER17,RUNNER17TIME,RUNNER18,RUNNER18TIME,RUNNER19,RUNNER19TIME,RUNNER20,RUNNER20TIME,RUNNER21,RUNNER21TIME
19,,,,,6,Mega Man: The Wily Wars (Mega Man & Mega Man 2),"Any 2 Robot Masters from MM1, Any 2 Robot Masters from MM2",19_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,7,Xenocrisis,Defeat Cthulhu Boss (Easy),19_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,8,World of Illusion: Starring Mickey Mouse and Donald Duck,Beat the Game - Donald Only,19_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Master 8 #5,4/26/2025,https://racetime.gg/misc/tactical-ezlo-7832,https://www.youtube.com/watch?v=luAtmGStAo4,1,Kung Fu Kid,Beat the Game,20_1,ReddyLion,1:26:29,Quarbit85,1:28:32,petaQ_src,1:32:55,jodosutari,1:40:33,GnarBlast,1:40:51,GoldenOgreGames,1:42:58,JkL0ser,1:44:34,arnaud33200,1:52:46,emsemts,2:06:34,FedePG,9:50:07,MsGroke,19:59:44,Random64,DNF,Vriaeliss,DNF,ZeeGee_,DNF,,,,,,,,,,,,,,
20,,,,,2A,Basketball Nightmare,Score 100 Points,20_2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,2B,Basketball Nightmare,Win 2 Games,20_2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,3A,Golvellius: Valley of Doom,Buy Valley Sword,20_3A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,3B,Golvellius: Valley of Doom,Defeat Bachular,20_3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,4,Land of Illusion Starring Mickey Mouse,Beat Good Princess Castle,20_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,5A,Special Criminal Investigations,Beat Stage 3,20_5A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,5B,Special Criminal Investigations,Beat Stage 5,20_5B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,6A,Final Bubble Bobble,Beat Stage 25 (No Umbrella Warp),20_6A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,6B,Final Bubble Bobble,Beat Stage 13 (No Umbrella Warp),20_6B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,7,Fantasy Zone II: The Tears of Opa-Opa,Beat Stage 5,20_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,8,Kenseiden,All Bosses,20_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Sega 8 #6,11/22/2025,https://racetime.gg/misc/brave-banjo-1577,https://www.youtube.com/watch?v=LVexyv7RFBU,1,Dinosaurs For Hire,Beat Hollywood,21_1,chill_runs,1:32:58,zendoikaban,1:33:57,ZeeGee_,1:34:23,jodosutari,1:41:59,Svipur,1:44:57,WillWagnerMusic,1:45:42,Grayskull83,1:54:49,ReddyLion,1:56:49,SamuraiTX90,2:03:33,GoldenOgreGames,2:06:48,Bradyo,2:19:42,Random64,3:47:01,MsGroke,4:37:03,arnaud33200,4:46:57,FedePG,5:23:44,GnarBlast,DNF,,,,,,,,,,
21,,,,,2,Mega Bomberman,Beat World 1,21_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,3,Dashin' Desperados,Beat World 2 (Beginner),21_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,4,Batman: The Video Game,(Beat the Game),21_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,5,Arnold Palmer Tournament Golf,Complete Hole 18,21_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,6,Valis: The Fantasm Soldier,Beat Stage 5,21_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,7,Teenage Mutant Ninja Turtles: The Hyperstone Heist,Beat Scene 3 (Easy),21_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,8,Magical Taruruuto-Kun,Beat the Game,21_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Saturn8lia,1/31/2026,https://racetime.gg/misc/wild-tetra-3266,https://www.youtube.com/watch?v=5JrKU-_tPPQ,1,Mega Man X4,Beat any 3 Mavericks,22_1,Quarbit85,1:40:54,jodosutari,1:53:39,MsGroke,2:26:07,Random64,7:09:25,FedePG,7:15:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,2,Sonic Jam,Sonic World (All Missions),22_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,3,Cotton 2: Magical Night Dreams,Beat Stage 3 (Saturn Mode),22_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,4,Guardian Heroes,Beat Any 4 Stages,22_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,5,Sega Rally Championship,Arcade Mode (Easy) - 3 Laps,22_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,6,Linkle Liver Story,Beat Red Eye,22_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,7,Metal Slug,Complete Mission 5 (Arcade Mode Easy),22_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,8,Clockwork Knight,Beat the Game,22_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Master 8 #6,4/11/2026,https://racetime.gg/misc/magic-rayman-5726,,1,Alex Kidd in Shinobi World,Beat the Game,23_1,Quarbit85,1:25:51,petaQ_src,1:31:53,Patton_Plays,1:31:58,arnaud33200,1:42:47,GoldenOgreGames,2:01:51,emsemts,2:06:52,Sacrieon,2:12:01,McGroke,2:32:18,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,2,Kenseiden,Beat Any 4 Bosses,23_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,3,Rastan,Beat Round 4,23_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,4,Master of Darkness,Beat Round 3 (No Death Glitch),23_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,5,Wonder Boy III: The Dragon's Trap,Purchase Shogun Blade,23_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,6,Ninja Gaiden,Beat Chapter 5,23_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,7,Asterix,Beat Round 3-3,23_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,8,Castle of Illusion Starring Mickey Mouse,Beat the Game,23_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
