EVENTID,RUNID,DATE,EVENT,RACETITLE,VIDEOURL,GAME,CONSOLE,RUNNER1,RUNNER2,RUNNER3,RUNNER4,RUNNER5,RUNNER6,RUNNER7,RUNNER8,RUNNER9,RUNNER10,RUNNER11,RUNNER12,RUNNER13,RUNNER14,RUNNER15,RUNNER16,COMMENTARY1,COMMENTARY2,COMMENTARY3,COMMENTARY4
,,,,,,Bonanza Bros.,Genesis,Gok_Zarah,,,,,,,,,,,,,,,,,,,
,,,,,,Vectorman,Genesis,ZeeGee_,,,,,,,,,,,,,,,,,,,
,,,,,,Sonic 2XL,Genesis,NoDiggity1,,,,,,,,,,,,,,,,,,,
,,,,,,Barbie: Vacation Adventure,Genesis,Paulsaltine,,,,,,,,,,,,,,,,,,,
,,,,,,Mortal Kombat,Genesis,Gok_Zarah,,,,,,,,,,,,,,,,,,,
,,,,,,Shinobi III: Return of the Ninja Master,Genesis,BaconOmelette,Faust4712,Paulsaltine,,,,,,,,,,,,,,,,,
,,,,,,Comix Zone,Genesis,Boostershane,,,,,,,,,,,,,,,,,,,
,,,,,,Bare Knuckle 3,Mega Drive,Sonicman2005,,,,,,,,,,,,,,,,,,,
,,,,,,Shadow Dancer: The Secret of Shinobi,Genesis,NoDiggity1,,,,,,,,,,,,,,,,,,,
,,,,,,Castlevania: Bloodlines,Genesis,NoDiggity1,Grimshins,,,,,,,,,,,,,,,,,,
,,,,,,Gain Ground,Genesis,Owazrim,,,,,,,,,,,,,,,,,,,
,,,,,,Teenage Mutant Ninja Turtles: The Hyperstone Heist,Genesis,Paulsaltine,,,,,,,,,,,,,,,,,,,
,,,,,,Socket,Genesis,BaconOmelette,,,,,,,,,,,,,,,,,,,
,,,,,,X-Men,Genesis,Boostershane,,,,,,,,,,,,,,,,,,,
,,,,,,Mutant League Football,Genesis,Owazrim,,,,,,,,,,,,,,,,,,,
,,,,,,Golden Axe Warrior,Master System,Boostershane,,,,,,,,,,,,,,,,,,,
,,,,,,Sonic the Hedgehog,Master System,Grimshins,,,,,,,,,,,,,,,,,,,
,,,,,,Dr. Robotnik's Mean Bean Machine,Genesis,Gok_Zarah,Grimshins,,,,,,,,,,,,,,,,,,
,,,,,,Chakan,Genesis,Grimshins,Boostershane,,,,,,,,,,,,,,,,,,
,,,,,,Bare Knuckle 2,Mega Drive,Sonicman2005,,,,,,,,,,,,,,,,,,,
,,,,,,World of Illusion: Starring Mickey Mouse and Donald Duck,Genesis,Paulsaltine,,,,,,,,,,,,,,,,,,,
,,,,,,Crazy Taxi,Dreamcast,InfiniteMystery,,,,,,,,,,,,,,,,,,,
,,,,,,Master of Darkness,Master System,NoDiggity1,Boostershane,,,,,,,,,,,,,,,,,,
,,,,,,ToeJam & Earl,Genesis,BaconOmelette,,,,,,,,,,,,,,,,,,,
,,,,,,Great Volleyball,Master System,Owazrim,,,,,,,,,,,,,,,,,,,
,,,,,,Super Tennis,Master System,Owazrim,,,,,,,,,,,,,,,,,,,
,,,,,,Space Channel 5,Dreamcast,InfiniteMystery,,,,,,,,,,,,,,,,,,,
,,,,,,Zillion,Master System,Owazrim,,,,,,,,,,,,,,,,,,,
,,,,,,Mazin Saga: Mutant Fighter,Genesis,Owazrim,,,,,,,,,,,,,,,,,,,
,,,,,,FX Unit Yuki: The Henshin Engine,Dreamcast,InfiniteMystery,,,,,,,,,,,,,,,,,,,
,,,,,,Lightening Force: Quest for the Darkstar,Genesis,Grimshins,,,,,,,,,,,,,,,,,,,
,,,,,,OutRun,Master System,Grimshins,,,,,,,,,,,,,,,,,,,
,,,,,,MegaRace,Sega CD,NoDiggity1,,,,,,,,,,,,,,,,,,,
,,,,,,Skitchin',Genesis,Gok_Zarah,,,,,,,,,,,,,,,,,,,
14,73,5/29/2022,Segathon IV,The Sonic 1 Race,https://www.youtube.com/watch?v=m5pYlLiVh5M,Sonic the Hedgehog,Genesis,NoDiggity1,BaconOmelette,Faust4712,Gok_Zarah,ZeeGee_,Grimshins,Paulsaltine,Sauloandrade_,FedePG,,,,,,,,,,,
,,,,,,Haunting Starring Polterguy,Genesis,Paulsaltine,Gok_Zarah,,,,,,,,,,,,,,,,,,
,,,,,,Road Rash 3: Tour De Force,Genesis,Gok_Zarah,,,,,,,,,,,,,,,,,,,
,,,,,,Sonic 3 & Knuckles,Genesis,ZeeGee_,,,,,,,,,,,,,,,,,,,
,,,,,,Sonic the Hedgehog,Master System,Grimshins,,,,,,,,,,,,,,,,,,,
,,,,,,Barney's Hide & Seek Game,Genesis,BaconOmelette,,,,,,,,,,,,,,,,,,,
,,,,,,Sonic Spinball,Genesis,NoDiggity1,,,,,,,,,,,,,,,,,,,
,,,,,,Sonic the Hedgehog,Commodore 64,Sauloandrade_,,,,,,,,,,,,,,,,,,,
,,,,,,Skitchin',Genesis,Gok_Zarah,,,,,,,,,,,,,,,,,,,
21,70,6/11/2023,Segathon V,The ToeJam & Earl Race,https://www.youtube.com/watch?v=Hd-pneN_tks,ToeJam & Earl,Genesis,hoodytwoshoes,BaconOmelette,Grimshins,NoDiggity1,bitty6501,Cypherin,Aludrakijurorin,KrakenZer0,,,,,,,,,Boostershane,,,
,,,,,,Golden Axe,Genesis,NoDiggity1,,,,,,,,,,,,,,,,,,,
,,,,,,Aaahh!!! Real Monsters,Genesis,bitty6501,,,,,,,,,,,,,,,,,,,
,,,,,,R.B.I. Baseball '93,Genesis,hoodytwoshoes,,,,,,,,,,,,,,,,,,,
,,,,,,Greendog: The Beached Surfer Dude!,Genesis,NoDiggity1,,,,,,,,,,,,,,,,,,,
,,,,,,Sword of Sodan,Genesis,Cypherin,,,,,,,,,,,,,,,,,,,
,,,,,,Pocahontas,Genesis,Aludrakijurorin,,,,,,,,,,,,,,,,,,,
,,,,,,NBA Jam,Genesis,hoodytwoshoes,,,,,,,,,,,,,,,,,,,
,,,,,,Shinobi III: Return of the Ninja Master,Genesis,BaconOmelette,Aludrakijurorin,,,,,,,,,,,,,,,,,,
,,,,,,Streets of Rage,Genesis,KrakenZer0,,,,,,,,,,,,,,,,,,,
,,,,,,Judge Dredd,Genesis,Cypherin,,,,,,,,,,,,,,,,,,,
,,,,,,The Ren & Stimpy Show Presents Stimpy's Invention,Genesis,hoodytwoshoes,,,,,,,,,,,,,,,,,,,
,,,,,,Columns,Genesis,Aludrakijurorin,,,,,,,,,,,,,,,,,,,
,,,,,,Herzog Zwei,Genesis,Cypherin,,,,,,,,,,,,,,,,,,,
,,,,,,Marble Madness,Genesis,NoDiggity1,,,,,,,,,,,,,,,,,,,
,,,,,,Hard Drivin',Genesis,NoDiggity1,,,,,,,,,,,,,,,,,,,
,,,,,,Crystal's Pony Tale,Genesis,Aludrakijurorin,,,,,,,,,,,,,,,,,,,
,,,,,,Dahna: Megami Tanjo,Mega Drive,Grimshins,,,,,,,,,,,,,,,,,,,
,,,,,,Road Rash II,Genesis,NoDiggity1,,,,,,,,,,,,,,,,,,,
,,,,,,Rocket Knight Adventures,Genesis,bitty6501,,,,,,,,,,,,,,,,,,,
,,,,,,Zero Tolerance,Genesis,NoDiggity1,,,,,,,,,,,,,,,,,,,
,,,,,,X-Men,Genesis,hoodytwoshoes,,,,,,,,,,,,,,,,,,,
,,,,,,Skitchin',Genesis,Cypherin,,,,,,,,,,,,,,,,,,,
,,,,,,Jeopardy!,Genesis,NoDiggity1,,,,,,,,,,,,,,,,,,,
,,,,,,Comix Zone,Genesis,KrakenZer0,,,,,,,,,,,,,,,,,,,
,,,,,,Frogger,Genesis,Aludrakijurorin,,,,,,,,,,,,,,,,,,,
,,,,,,Wario Woods,NES,Aludrakijurorin,,,,,,,,,,,,,,,,,,,
,,,,,,Spider-Man vs. The Kingpin,Genesis,hoodytwoshoes,,,,,,,,,,,,,,,,,,,
,,,,,,Vectorman 2,Genesis,KrakenZer0,,,,,,,,,,,,,,,,,,,
,,,,,,Pac-Man 2: The New Adventures,Genesis,Aludrakijurorin,,,,,,,,,,,,,,,,,,,
,,,,,,Shove It! ...The Warehouse Game,Genesis,Grimshins,,,,,,,,,,,,,,,,,,,
,,,,,,Gunstar Heroes,Genesis,KrakenZer0,,,,,,,,,,,,,,,,,,,
,,,,,,Phantom 2040,Genesis,Cypherin,,,,,,,,,,,,,,,,,,,
,,,,,,Dark Castle,Genesis,Grimshins,,,,,,,,,,,,,,,,,,,
,,,,,,Tecmo Super Bowl,Genesis,hoodytwoshoes,,,,,,,,,,,,,,,,,,,
22,1,9/15/2023,40 For 40,Sega Rumble 2023,https://www.youtube.com/watch?v=RHUYdVnZtq0,Choplifter,SG-1000,Owazrim,,,,,,,,,,,,,,,,,,,
,,,,,,Castle of Illusion Starring Mickey Mouse,Master System,Faust4712,,,,,,,,,,,,,,,,,,,
,,,,,,Super Hang-On,Arcade,LRock617,,,,,,,,,,,,,,,,,,,
,,,,,,ExoSquad,Genesis,Cypherin,,,,,,,,,,,,,,,,,,,
,,,,,,X-Men: Mojo World,Master System,Faust4712,,,,,,,,,,,,,,,,,,,
,,,,,,Altered Beast,Genesis,Cypherin,,,,,,,,,,,,,,,,,,,
,,,,,,Hang-On II,SG-1000,Owazrim,,,,,,,,,,,,,,,,,,,
,,,,,,Space Harrier II,Genesis,Cypherin,,,,,,,,,,,,,,,,,,,
,,,,,,Final Fight Revenge,Arcade,LRock617,,,,,,,,,,,,,,,,,,,
,,,,,,Flicky,Genesis,Cypherin,,,,,,,,,,,,,,,,,,,
,,,,,,Popful Mail,Sega CD,Paulsaltine,,,,,,,,,,,,,,,,,,,
,,,,,,H.E.R.O.,SG-1000,Owazrim,,,,,,,,,,,,,,,,,,,
,,,,,,Ghouls'n Ghosts,Genesis,Cypherin,,,,,,,,,,,,,,,,,,,
,,,,,,Vampire: Master of Darkness,Game Gear,Boostershane,,,,,,,,,,,,,,,,,,,
,,,,,,Alex Kidd in Shinobi World,Master System,Faust4712,,,,,,,,,,,,,,,,,,,
,,,,,,Target Earth,Genesis,Cypherin,,,,,,,,,,,,,,,,,,,
,,,,,,NiGHTS into Dreams,Saturn,ShivaPSOBB,,,,,,,,,,,,,,,,,,,
